designStorm,loadingRatio,depth,probabilityOfFailure,reliability
0.1,0.2,12,0,1
0.2,0.2,12,0,1
0.3,0.2,12,0,1
0.4,0.2,12,0,1
0.5,0.2,12,0,1
0.6,0.2,12,0,1
0.7,0.2,12,0,1
0.8,0.2,12,0,1
0.9,0.2,12,0,1
1,0.2,12,0,1
1.1,0.2,12,0,1
1.2,0.2,12,0,1
1.3,0.2,12,0,1
1.4,0.2,12,0,1
1.5,0.2,12,0,1
1.6,0.2,12,0,1
1.7,0.2,12,0,1
1.8,0.2,12,0,1
1.9,0.2,12,0,1
2,0.2,12,0,1
2.1,0.2,12,0,1
2.2,0.2,12,0,1
2.3,0.2,12,0,1
2.4,0.2,12,0,1
2.5,0.2,12,0,1
2.6,0.2,12,0,1
2.7,0.2,12,0,1
2.8,0.2,12,0,1
2.9,0.2,12,0,1
3,0.2,12,0,1
3.1,0.2,12,0,1
3.2,0.2,12,0,1
3.3,0.2,12,0.0001,0.9999
3.4,0.2,12,0.0001,0.9999
3.5,0.2,12,0.0002,0.9998
3.6,0.2,12,0.0009,0.9991
3.7,0.2,12,0.0016,0.9984
3.8,0.2,12,0.003,0.997
3.9,0.2,12,0.0053,0.9947
4,0.2,12,0.0093,0.9907
4.1,0.2,12,0.0131,0.9869
4.2,0.2,12,0.0198,0.9802
4.3,0.2,12,0.0153,0.9847
4.4,0.2,12,0.02,0.98
4.5,0.2,12,0.0235,0.9765
4.6,0.2,12,0.0244,0.9756
4.7,0.2,12,0.025,0.975
4.8,0.2,12,0.0276,0.9724
4.9,0.2,12,0.0276,0.9724
5,0.2,12,0.0276,0.9724
0.1,0.2,18,0,1
0.2,0.2,18,0,1
0.3,0.2,18,0,1
0.4,0.2,18,0,1
0.5,0.2,18,0,1
0.6,0.2,18,0,1
0.7,0.2,18,0,1
0.8,0.2,18,0,1
0.9,0.2,18,0,1
1,0.2,18,0,1
1.1,0.2,18,0,1
1.2,0.2,18,0,1
1.3,0.2,18,0,1
1.4,0.2,18,0,1
1.5,0.2,18,0,1
1.6,0.2,18,0,1
1.7,0.2,18,0,1
1.8,0.2,18,0,1
1.9,0.2,18,0,1
2,0.2,18,0,1
2.1,0.2,18,0,1
2.2,0.2,18,0,1
2.3,0.2,18,0,1
2.4,0.2,18,0,1
2.5,0.2,18,0,1
2.6,0.2,18,0,1
2.7,0.2,18,0,1
2.8,0.2,18,0,1
2.9,0.2,18,0,1
3,0.2,18,0,1
3.1,0.2,18,0,1
3.2,0.2,18,0,1
3.3,0.2,18,0,1
3.4,0.2,18,0,1
3.5,0.2,18,0,1
3.6,0.2,18,0,1
3.7,0.2,18,0,1
3.8,0.2,18,0,1
3.9,0.2,18,0,1
4,0.2,18,0,1
4.1,0.2,18,0,1
4.2,0.2,18,0,1
4.3,0.2,18,0,1
4.4,0.2,18,0,1
4.5,0.2,18,0,1
4.6,0.2,18,0,1
4.7,0.2,18,0,1
4.8,0.2,18,0,1
4.9,0.2,18,0,1
5,0.2,18,0,1
0.1,0.2,24,0,1
0.2,0.2,24,0,1
0.3,0.2,24,0,1
0.4,0.2,24,0,1
0.5,0.2,24,0,1
0.6,0.2,24,0,1
0.7,0.2,24,0,1
0.8,0.2,24,0,1
0.9,0.2,24,0,1
1,0.2,24,0,1
1.1,0.2,24,0,1
1.2,0.2,24,0,1
1.3,0.2,24,0,1
1.4,0.2,24,0,1
1.5,0.2,24,0,1
1.6,0.2,24,0,1
1.7,0.2,24,0,1
1.8,0.2,24,0,1
1.9,0.2,24,0,1
2,0.2,24,0,1
2.1,0.2,24,0,1
2.2,0.2,24,0,1
2.3,0.2,24,0,1
2.4,0.2,24,0,1
2.5,0.2,24,0,1
2.6,0.2,24,0,1
2.7,0.2,24,0,1
2.8,0.2,24,0,1
2.9,0.2,24,0,1
3,0.2,24,0,1
3.1,0.2,24,0,1
3.2,0.2,24,0,1
3.3,0.2,24,0,1
3.4,0.2,24,0,1
3.5,0.2,24,0,1
3.6,0.2,24,0,1
3.7,0.2,24,0,1
3.8,0.2,24,0,1
3.9,0.2,24,0,1
4,0.2,24,0,1
4.1,0.2,24,0,1
4.2,0.2,24,0,1
4.3,0.2,24,0,1
4.4,0.2,24,0,1
4.5,0.2,24,0,1
4.6,0.2,24,0,1
4.7,0.2,24,0,1
4.8,0.2,24,0,1
4.9,0.2,24,0,1
5,0.2,24,0,1
0.1,0.2,30,0,1
0.2,0.2,30,0,1
